Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.228 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 7 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_SYSMETRIC_HISTORY"              476.7 KB    8960 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_926"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_796"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_926"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_950"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_997"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_1021"  1001. KB    4248 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_796"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_926"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_997"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_796"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_828"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_926"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_950"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_974"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_997"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_1021"  667.5 KB   13969 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_796"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_828"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_895"  8.632 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_852"  8.617 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_1021"  294.5 KB    5696 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_828"  6.992 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_950"  6.992 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_974"  6.992 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_926"  7.828 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT_OBJ"                   868.8 KB    9066 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_828"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_852"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SHARED_POOL_ADVICE"             47.22 KB     672 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_828"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_950"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_974"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_997"  8.632 KB       0 rows
. . exported "SYS"."WRH$_IOSTAT_FUNCTION"                51.03 KB     832 rows
. . exported "SYS"."WRH$_LIBRARYCACHE"                   50.39 KB     704 rows
. . exported "SYS"."WRH$_PGASTAT"                        57.49 KB    1069 rows
. . exported "SYS"."WRH$_PGA_TARGET_ADVICE"              57.53 KB     896 rows
. . exported "SYS"."WRH$_RESOURCE_LIMIT"                 42.40 KB     576 rows
. . exported "SYS"."WRH$_SGA_TARGET_ADVICE"              40.02 KB     923 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_895"  26.10 KB       0 rows
. . exported "SYS"."WRH$_BUFFER_POOL_STATISTICS"         20.61 KB      64 rows
. . exported "SYS"."WRH$_CLUSTER_INTERCON"               11.58 KB      64 rows
. . exported "SYS"."WRH$_CR_BLOCK_SERVER"                19.24 KB      64 rows
. . exported "SYS"."WRH$_CURRENT_BLOCK_SERVER"           16.33 KB      64 rows
. . exported "SYS"."WRH$_IC_CLIENT_STATS"                30.89 KB     704 rows
. . exported "SYS"."WRH$_IC_DEVICE_STATS"                 38.5 KB     256 rows
. . exported "SYS"."WRH$_INSTANCE_RECOVERY"              17.68 KB      64 rows
. . exported "SYS"."WRH$_IOSTAT_FILETYPE"                58.85 KB     768 rows
. . exported "SYS"."WRH$_JAVA_POOL_ADVICE"               14.57 KB     128 rows
. . exported "SYS"."WRH$_PROCESS_MEMORY_SUMMARY"         27.46 KB     256 rows
. . exported "SYS"."WRH$_SGA"                            16.15 KB     256 rows
. . exported "SYS"."WRH$_SQL_SUMMARY"                    9.851 KB      64 rows
. . exported "SYS"."WRH$_SQL_WORKAREA_HISTOGRAM"         39.08 KB     753 rows
. . exported "SYS"."WRH$_TEMPSTATXS"                     14.66 KB      64 rows
. . exported "SYS"."WRH$_THREAD"                         29.01 KB     512 rows
. . exported "SYS"."WRH$_UNDOSTAT"                       19.69 KB      46 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_1021"  210.8 KB     750 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_796"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_895"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_950"  8.609 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_1021"  233.7 KB    3520 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_796"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_895"  11.02 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_1021"  66.17 KB     960 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_796"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_895"  8.617 KB       0 rows
. . exported "SYS"."WRM$_SNAPSHOT"                       14.09 KB      64 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_796"  9.851 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_1021"  85.78 KB    1344 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_796"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_828"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_895"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_926"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_997"  10.60 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_1021"  207.4 KB    1792 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_828"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_926"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_950"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_974"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_1021"  38.21 KB     512 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_796"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_997"  8.609 KB       0 rows
. . exported "SYS"."WRH$_MEMORY_RESIZE_OPS"              9.820 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_796"  6.593 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_828"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_926"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_950"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_974"  11.02 KB       0 rows
